row_id,accepted
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,1
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,1
330,1
331,1
332,1
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,1
411,0
412,0
413,1
414,0
415,1
416,1
417,0
418,1
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,1
522,1
523,0
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,0
578,1
579,0
580,0
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,0
599,0
600,1
601,1
602,0
603,0
604,1
605,0
606,1
607,1
608,1
609,0
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,1
636,0
637,0
638,0
639,1
640,1
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,1
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,0
677,1
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,1
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,1
712,0
713,1
714,1
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,0
750,0
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,1
759,0
760,0
761,0
762,1
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,1
773,0
774,1
775,0
776,1
777,0
778,1
779,0
780,0
781,1
782,0
783,1
784,1
785,1
786,0
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,0
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,1
839,0
840,0
841,0
842,1
843,1
844,0
845,0
846,1
847,1
848,0
849,0
850,1
851,1
852,1
853,0
854,1
855,1
856,0
857,0
858,0
859,1
860,1
861,0
862,0
863,1
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,1
873,0
874,1
875,0
876,1
877,1
878,1
879,1
880,0
881,0
882,0
883,1
884,0
885,0
886,1
887,1
888,1
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,1
897,0
898,0
899,0
900,1
901,0
902,0
903,0
904,1
905,1
906,0
907,1
908,0
909,0
910,0
911,0
912,1
913,1
914,1
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,0
936,0
937,1
938,1
939,0
940,1
941,1
942,0
943,0
944,1
945,1
946,1
947,0
948,1
949,0
950,1
951,1
952,0
953,0
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,0
962,1
963,0
964,0
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,1
982,1
983,1
984,0
985,1
986,1
987,0
988,0
989,0
990,0
991,1
992,0
993,0
994,1
995,1
996,1
997,0
998,1
999,0
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,0
1010,0
1011,1
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,1
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,1
1067,1
1068,0
1069,0
1070,1
1071,0
1072,1
1073,0
1074,1
1075,1
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,0
1088,1
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,1
1098,0
1099,0
1100,1
1101,0
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,1
1113,1
1114,0
1115,0
1116,1
1117,0
1118,0
1119,1
1120,1
1121,0
1122,0
1123,0
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,1
1139,0
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,1
1165,0
1166,1
1167,1
1168,0
1169,0
1170,0
1171,1
1172,1
1173,0
1174,1
1175,1
1176,0
1177,0
1178,1
1179,0
1180,1
1181,1
1182,1
1183,0
1184,1
1185,0
1186,1
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,1
1194,1
1195,0
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,1
1215,0
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,1
1224,0
1225,0
1226,0
1227,0
1228,1
1229,0
